replicate ,temp,age_gp,inoc,CollD5,RhizD5,coinfectedD5,plaD5,tillersD5,CollD7,RhizD7,coinfectedD7,plaD7,tillersD7,CollD10,RhizD10,coinfectedD10,plaD10,tillersD10,CollD12,RhizD12,coinfectedD12,plaD12,tillersD12,CollD15,RhizD15,coinfectedD15,plaD15,tillersD15,CollD20,RhizD20,coinfectedD20,plaD20,tillersD20,dry.biomass,plant_ID
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0.23,56
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1.61,57
1,29,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1.1,58
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1.06,59
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1.36,60
1,29,y,m,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0.08,61
1,29,y,m,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0.39,62
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0.4,63
1,29,y,m,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.15,64
1,29,y,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,65
1,29,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.08,66
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.39,67
1,29,y,m,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.49,68
1,29,y,m,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.41,69
1,29,y,m,0,0,0,0,7,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.55,70
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.33,71
1,29,y,m,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,72
1,29,y,m,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.47,73
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.27,74
1,29,y,m,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.27,75
1,29,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.03,76
1,29,y,m,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.44,77
1,29,y,m,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.46,78
1,29,y,m,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.6,79
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.28,80
6,21,y,r,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,1,0,10,5,0,1,0,10,5,,889
5,29,y,rc,0,0,0,0,2,0,0,0,0,1,0,0,0,10,1,1,1,0,1,2,5,1,0,5,2,1,1,0,5,2,0.01,653
1,29,o,rc,0,0,0,0,4,1,0,0,0,5,0,0,0,0,5,1,1,1,1,5,1,1,1,5,5,1,1,1,5,5,1.05,120
1,29,o,rc,0,1,0,0,2,0,1,0,0,2,0,1,0,0,1,1,1,1,5,3,1,1,1,5,3,1,1,1,5,2,0.14,125
1,29,o,rc,0,0,0,0,5,1,0,0,0,7,1,0,0,0,7,1,0,0,0,7,1,1,1,1,5,1,1,1,5,7,0.98,128
1,29,o,rc,0,0,0,0,7,1,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,1,1,5,5,1,1,1,5,8,1.35,131
1,29,o,rc,0,0,0,0,4,1,0,0,0,5,0,0,0,0,5,1,1,1,0.5,5,1,1,1,0.5,5,1,1,1,5,5,1.05,133
3,29,o,rc,0,0,0,0,2,0,0,0,0,2,1,1,1,1,3,1,1,1,5,3,1,1,1,5,4,1,1,1,5,3,0.73,370
5,29,o,rc,0,1,0,0,2,0,1,0,0,2,0,1,0,0,1,1,1,1,5,3,1,1,1,5,3,1,1,1,5,2,0.14,617
5,29,o,rc,0,0,0,0,6,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1.12,619
5,29,o,rc,0,0,0,0,5,1,0,0,0,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,5,5,0.86,621
1,29,y,rc,0,1,0,5,10,1,1,1,0.5,10,1,1,1,1,10,1,1,1,1,10,1,1,1,2,10,1,1,1,5,9,0.32,137
1,29,y,rc,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,2,1,1,1,5,2,0.01,138
1,29,y,rc,0,1,0,1,4,0,1,0,20,3,0,1,0,10,5,0,1,1,5,5,1,1,1,5,5,1,1,1,5,5,0.15,139
1,29,y,rc,1,1,1,5,1,1,0,1,15,1,1,1,1,33,1,1,1,1,20,1,1,1,1,10,2,1,1,1,5,3,-0.01,142
2,21,o,rc,0,0,0,0,3,0,1,0,5,3,0,1,0,5,2,0,1,0,5,2,0,1,0,5,2,0,1,1,5,3,,202
1,29,o,r,0,0,0,0,6,0,1,0,1,8,0,0,0,0,8,0,0,0,0.5,5,0,0,0,0.5,0,0,0,0,0,8,1.46,97
1,29,y,rc,0,1,0,5,9,1,1,1,1,9,1,1,1,1,8,1,1,1,1,8,1,1,1,1,9,1,1,1,5,9,0.67,143
2,21,o,r,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,1,0,0,4,0,1,0,2,4,0,1,0,5,4,,185
2,21,o,r,0,1,0,10,3,0,1,0,5,3,0,1,0,10,3,0,1,0,15,3,0,1,0,10,3,0,1,0,5,4,5.66,187
2,21,o,r,0,1,0,15,1,0,1,0,35,1,0,1,0,25,1,0,1,0,20,1,0,1,0,10,1,0,1,0,5,3,2.56,188
1,29,y,rc,0,1,0,5,2,1,1,1,0.5,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,5,2,0.17,144
1,29,y,rc,0,1,0,2,4,1,1,1,10,4,1,1,1,0,6,1,1,1,1,6,1,1,1,2,6,1,1,1,5,6,0.35,145
5,29,o,rc,0,1,0,0,3,0,1,0,0,3,1,1,1,0.5,3,1,1,1,0.5,3,1,1,1,1,3,1,1,1,5,4,1.01,628
3,29,y,rc,0,1,0,5,9,1,1,1,1,9,1,1,1,1,8,1,1,1,1,8,1,1,1,1,9,1,1,1,5,9,0.67,387
3,29,y,rc,0,1,0,5,2,1,1,1,10,2,1,1,1,20,2,1,1,1,15,2,1,1,1,5,2,1,1,1,5,2,0.17,388
3,29,y,rc,0,1,0,2,4,1,1,1,10,4,1,1,1,0,6,1,1,1,0.5,6,1,1,1,5,6,1,1,1,5,6,0.35,389
3,29,y,rc,0,0,0,0,5,0,1,0,1,5,0,1,0,1,5,0,1,0,1,2,1,1,1,5,5,1,1,1,5,4,0.13,390
3,29,y,rc,0,1,0,1,5,0,1,0,0.5,5,0,1,0,0.5,5,0,1,0,1,5,1,1,1,1,5,1,1,1,5,4,0.13,394
3,29,y,rc,0,1,0,1,3,0,1,0,5,4,1,1,1,0,4,1,1,1,0,4,1,1,1,1,4,1,1,1,5,4,0.49,395
3,29,y,rc,0,0,0,0,2,0,1,0,1,2,0,1,0,0,2,0,1,0,1,3,1,1,1,5,2,1,1,1,5,2,0.17,398
3,29,y,rc,0,0,0,0,9,0,0,0,0,9,1,0,0,1,8,1,1,1,5,8,1,1,1,5,9,1,1,1,5,9,0.67,401
3,29,y,rc,0,1,0,0,1,0,1,0,5,2,0,1,0,0,2,0,1,0,1,3,1,1,0,1,3,1,1,0,5,3,0.02,404
4,21,o,rc,0,0,0,1,8,0,1,0,10,8,0,1,0,20,9,1,1,1,15,9,1,1,1,10,9,1,1,1,5,7,,453
5,29,y,rc,0,1,0,1,1,0,1,0,5,1,0,1,0,0,1,1,1,1,5,1,1,1,1,5,2,1,1,1,5,4,0.04,636
5,29,y,rc,0,1,0,1,3,0,1,0,5,2,1,1,1,0,3,1,1,1,0,4,1,1,1,1,4,1,1,1,5,4,0.49,638
5,29,y,rc,0,0,0,0,7,1,0,0,1,9,0,0,0,0.5,9,1,0,0,0.5,9,1,1,0,1,8,1,1,1,5,8,0.59,648
1,29,y,rc,0,1,0,5,4,0,1,0,10,4,0,1,0,0,6,0,1,0,1,6,0,1,0,1,2,1,1,0,5,7,0.35,141
1,29,y,rc,0,1,0,10,3,0,1,0,5,2,0,1,0,5,3,0,1,0,10,3,0,1,0,5,3,1,1,0,5,3,0.34,153
3,29,y,rc,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,1,4,0,0,0,0,4,1,1,1,5,4,0.49,403
2,21,y,rc,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,5,2,0.99,207
4,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.5,2,0.23,462
4,21,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,1,0,0,0.5,6,4.92,463
1,29,o,c,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,1,0,0,0.5,2,1,0,0,0.5,2,1,0,0,0.5,2,1.02,4
1,29,o,c,0,0,0,0,5,1,0,0,0.5,5,1,0,0,0.5,5,1,0,0,0.5,5,1,0,0,0.5,5,1,0,0,0.5,5,1.5,10
1,29,o,c,0,0,0,0,3,1,0,0,0.5,3,1,0,0,1,3,1,0,0,2,3,1,0,0,1,3,1,0,0,0.5,4,0.47,13
2,21,y,c,0,0,0,5,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,,154
2,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,,155
2,21,y,c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
2,21,y,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0.5,2,0,0,0,0,3,,159
2,21,y,c,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,3,0,0,0,0,3,0,0,0,0,3,,160
6,21,y,rc,0,1,0,5,6,0,1,0,1,6,0,1,0,1,5,0,1,0,5,5,0,1,1,5,6,1,1,1,5,6,,786
6,21,y,rc,0,1,0,10,2,0,1,0,5,3,0,1,0,5,3,1,1,1,10,2,0,1,1,5,3,1,1,1,5,3,,865
2,21,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,,168
2,21,y,m,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,2.46,169
2,21,y,m,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,5,3.19,170
2,21,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1.29,171
2,21,y,m,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,7,,172
2,21,o,r,0,1,0,15,3,0,1,0,20,3,0,1,0,20,3,0,1,0,20,3,0,1,0,10,3,0,1,0,5,4,,189
2,21,o,c,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,0,0,0,0,3,0,0,0,0,3,0,0,0,2,3,0.91,237
1,29,o,c,0,0,0,0,4,0,0,0,0,4,1,0,0,1,3,1,0,0,1,3,1,0,0,0.5,1,1,0,0,0.5,4,1.36,16
4,21,o,rc,0,0,0,0,2,0,1,0,1,3,0,1,0,0,3,0,1,0,0,3,1,1,0,5,3,0,1,0,5,3,,454
3,29,o,c,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1,0,0,5,6,1,0,0,1,6,1,0,0,0.5,6,0.47,252
1,29,o,r,0,1,0,2,5,0,1,0,0.5,6,0,1,0,0.5,5,0,1,0,1,5,0,1,0,1,5,0,1,0,5,5,1.29,82
1,29,o,r,0,1,0,5,6,0,1,0,0.5,8,0,1,0,0.5,8,0,1,0,0.5,8,0,1,0,1,8,0,1,0,5,8,1.46,84
1,29,o,r,0,0,0,0,5,0,0,0,0,5,0,1,0,1,5,0,1,0,1,5,0,1,0,5,5,0,1,0,5,5,1.65,85
1,29,o,r,0,0,0,0,3,0,1,0,5,3,0,1,0,5,3,0,1,0,10,3,0,1,0,10,3,0,1,0,5,3,0.81,87
1,29,o,r,0,0,0,0,3,0,1,0,1,3,0,1,0,1,3,0,1,0,1,3,0,1,0,10,3,0,1,0,5,3,0.81,91
1,29,o,r,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,5,3,0.81,95
1,29,y,r,0,1,0,5,2,0,1,0,25,2,0,1,0,5,1,0,1,0,2,3,0,1,0,2,3,0,1,0,5,3,0.14,107
3,29,o,c,0,0,0,0,4,0,0,0,0,5,1,0,0,1,5,1,0,0,1,5,1,0,0,0.5,5,1,0,0,0.5,5,0.32,253
3,29,o,c,0,0,0,0,4,1,0,0,0,4,1,0,0,0.5,4,1,0,0,0.5,4,1,0,0,0.5,4,1,0,0,0.5,4,0.95,261
2,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,1,3,4.78,244
1,29,y,r,0,1,0,1,2,0,1,0,1,4,0,1,0,10,4,0,1,0,1,4,0,1,0,1,4,0,1,0,5,4,0.24,108
2,21,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,1,5,7.08,248
2,21,o,c,0,0,0,0,4,0,0,0,0,3,1,0,0,0.5,4,0,0,0,0,0,1,0,0,1,4,0,0,0,0.5,4,,161
2,21,o,c,0,0,0,0,4,1,0,0,0.5,4,1,0,0,0.5,4,4,1,0,0,1,4,0,0,1,3,0,0,0,0.5,4,,235
1,29,y,r,0,1,0,5,2,0,1,0,1,4,0,1,0,10,4,0,0,0,4,0,0,1,0,4,1,0,1,0,5,4,0.24,110
1,29,y,r,0,1,0,10,2,0,1,0,25,2,0,1,0,5,1,0,1,0,3,2,0,1,0,3,2,0,1,0,5,3,0.14,115
2,21,o,r,0,0,0,0,3,0,0,0,0,3,0,1,0,1,3,0,1,0,0,1,0,1,0,1,3,0,1,0,5,4,6.2,236
2,21,o,r,0,1,0,15,1,0,1,0,35,1,0,1,0,25,1,0,1,0,20,1,0,1,0,10,1,0,1,0,5,3,2.56,241
5,29,y,c,0,0,0,0,4,0,0,0,0,4,1,0,0,0.5,5,1,0,0,1,1,0,0,0,0,1,1,0,0,0.5,5,0.56,531
2,21,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0.08,208
2,21,o,r,0,1,0,15,3,0,1,0,20,3,0,1,0,20,3,0,1,0,20,3,0,1,0,10,3,0,1,0,5,4,,243
2,21,y,m,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,2.46,210
2,21,y,r,0,1,0,5,1,0,1,0,10,1,0,1,0,15,1,0,1,0,30,1,0,1,0,30,1,0,1,0,5,2,,184
6,21,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,1,0,0,0.5,6,4.92,654
2,21,y,c,0,0,0,5,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0.13,213
3,29,o,r,0,1,0,1,7,0,1,0,1,6,0,1,0,1,6,0,1,0,1,6,0,1,0,5,6,0,1,0,5,6,0.96,332
6,21,y,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,1,0,0,0.5,6,0.31,714
3,29,o,r,0,1,0,10,6,0,1,0,0.5,7,0,1,0,0.5,6,0,1,0,1,5,0,1,0,5,5,0,1,0,5,5,0.89,335
6,21,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,1,0,0,0.5,6,1,0,0,0.5,6,,794
3,29,o,r,0,0,0,0,6,0,1,0,0.5,5,0,1,0,0.5,6,0,1,0,0.5,5,0,1,0,1,5,0,1,0,5,6,1.11,336
3,29,o,r,0,1,0,5,6,0,1,0,0.5,8,0,1,0,0.5,8,0,1,0,0.5,8,0,1,0,5,8,0,1,0,5,8,1.46,339
3,29,o,r,0,0,0,0,6,0,1,0,1,5,0,1,0,1,6,0,1,0,1,5,0,1,0,1,5,0,1,0,5,6,1.11,340
4,21,o,c,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,1,0,0,1,8,1,0,0,1,8,1,0,0,0.5,7,6.84,417
3,29,o,r,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,1,0,0.5,0,0,1,0,0.5,5,0,1,0,5,4,0.97,347
6,21,y,c,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0.5,2,1,0,0,0.5,2,,837
3,29,y,r,0,1,0,15,2,0,1,0,1,4,0,1,0,1,4,0,1,0,1,4,0,1,0,1,4,0,1,0,5,4,0.24,348
3,29,y,r,0,1,0,5,3,0,1,0,10,3,0,1,0,10,3,0,1,0,5,4,0,1,0,5,4,0,1,0,5,4,0.61,351
2,21,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,1.29,227
2,21,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0.21,228
2,21,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0.18,229
3,29,y,r,0,1,0,1,2,0,1,0,5,2,0,1,0,1,2,0,1,0,0,2,0,1,0,0,2,0,1,0,5,2,0.1,352
2,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,0,0,0,0.5,3,0.9,246
2,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,,162
2,21,o,c,0,0,0,0,7,1,0,0,0.5,7,1,0,0,0.5,7,1,0,0,1,7,0,0,0,0,7,0,0,0,0,7,9.16,165
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,,173
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,,174
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,,175
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,,176
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,6.35,177
2,21,o,r,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,4.58,190
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,1.34,231
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0.91,232
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,,0,,3,0,1,0,0,4,0,0,0,0,4,0,0,0,0,4,9.2,233
2,21,o,r,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,4.58,245
2,21,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,7.45,249
3,29,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0.47,257
3,29,o,c,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,5,0,0,0,0,7,1.66,269
3,29,o,c,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,1.02,270
3,29,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0.07,272
3,29,y,c,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0.47,273
3,29,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,5,0.34,277
3,29,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0.07,278
3,29,y,c,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0.47,279
3,29,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5,0.34,283
